run_id,run_date,ticker,rank,score_rank,score,rsi2,dist_5dma_pct,dist_50dma_pct,dist_200dma_pct,last_close,target_price,stop_price,signal,freq_60d
20260514,2026-05-14T15:13:56.381290+00:00,ZTO,1,1,57.6,0.91,-4.15,-3.75,10.71,23.62,24.64,22.3,🔵,2
20260514,2026-05-14T15:13:56.381290+00:00,MFC,2,2,51.3,2.33,-5.22,2.28,9.09,37.4,39.45,35.33,🔵,0
20260514,2026-05-14T15:13:56.381290+00:00,CIG,3,3,46.9,1.64,-3.94,-7.37,5.63,2.24,2.34,2.08,🔵,3
20260514,2026-05-14T15:13:56.381290+00:00,EA,4,4,46.7,0.75,-0.1,-0.86,2.55,200.0,200.21,197.83,🔵,2
20260514,2026-05-14T15:13:56.381290+00:00,FORM,5,5,42.1,9.49,-6.99,8.57,83.78,128.11,137.74,96.78,🟡,1
20260514,2026-05-14T15:13:56.381290+00:00,ALB,6,6,42.0,8.5,-6.0,4.03,40.71,189.85,201.96,159.25,🟡,0
20260514,2026-05-14T15:13:56.381290+00:00,SQM,7,7,39.0,8.86,-5.43,4.43,36.64,86.55,91.52,76.61,🟡,1
20260514,2026-05-14T15:13:56.381290+00:00,ZM,8,8,36.4,4.14,-4.64,14.19,17.86,99.38,104.22,88.66,🟢,2
20260514,2026-05-14T15:13:56.381290+00:00,USAR,9,9,36.4,5.0,-5.08,20.57,30.25,24.42,25.73,18.4,🟡,2
20260514,2026-05-14T15:13:56.381290+00:00,ENTG,10,10,36.2,4.85,-3.46,7.4,35.56,140.85,145.89,120.48,🟢,1
20260514,2026-05-14T15:13:56.381290+00:00,CTRA,11,11,31.8,5.41,-5.34,-1.78,19.64,32.56,34.4,29.9,🟡,2
20260514,2026-05-14T15:13:56.381290+00:00,MCHP,12,12,29.2,6.92,-1.5,25.55,40.35,96.3,97.77,85.57,🟡,2
20260514,2026-05-14T15:13:56.381290+00:00,CCJ,13,13,27.8,8.37,-4.37,-3.19,11.92,110.96,116.03,94.24,🟡,1
20260514,2026-05-14T15:13:56.381290+00:00,BG,14,14,23.3,8.27,-1.68,-0.93,21.14,123.19,125.3,113.03,🟡,3
20260514,2026-05-14T15:13:56.381290+00:00,SAN,15,15,20.6,8.95,-1.54,2.58,8.82,11.86,12.05,11.17,🟡,1
20260514,2026-05-14T15:13:56.381290+00:00,RTO,16,16,18.4,6.77,-1.47,-0.8,12.09,32.26,32.74,30.82,🟡,3
20260514,2026-05-14T15:13:56.381290+00:00,DOV,17,17,14.7,6.55,-1.15,-0.32,9.84,214.67,217.16,202.24,🟡,4
20260514,2026-05-14T15:13:56.381290+00:00,WEC,18,18,11.6,7.49,-1.06,-3.74,0.21,110.82,112.01,106.26,🟡,3
20260514,2026-05-14T15:13:56.381290+00:00,POR,19,19,9.1,5.62,-0.36,-6.49,1.75,48.15,48.33,45.84,🟡,4
20260523,2026-05-23T14:03:08.119254+00:00,CE,1,1,52.0,0.91,-2.27,-15.25,6.93,52.39,53.61,45.08,🔵,2
