run_id,ticker,outcome,days_to_resolve,result_pct
20260514,ALB,EXPIRED,5,-10.74
20260514,BG,EXPIRED,5,-2.8
20260514,CCJ,EXPIRED,5,-5.07
20260514,CIG,EXPIRED,5,-2.51
20260514,DOV,EXPIRED,5,-3.45
20260514,EA,WON,1,0.1
20260514,ENTG,EXPIRED,5,-6.8
20260514,FORM,EXPIRED,5,-0.09
20260514,MCHP,EXPIRED,5,-5.86
20260514,MFC,EXPIRED,5,3.43
20260514,POR,WON,3,0.37
20260514,RTO,EXPIRED,5,-2.17
20260514,SAN,WON,4,1.6
20260514,SQM,EXPIRED,5,-8.39
20260514,USAR,EXPIRED,5,-0.53
20260514,WEC,WON,4,1.07
20260514,ZM,EXPIRED,5,-2.65
20260514,ZTO,EXPIRED,5,-3.34
20260523,ALKS,WON,1,0.49
20260523,AMX,LOST,4,-5.7
20260523,CE,WON,3,2.33
20260523,DE,EXPIRED,5,2.24
20260523,GLNG,EXPIRED,5,-3.38
20260523,GOOG,WON,1,1.52
20260523,GOOGL,WON,1,1.53
20260523,IBKR,WON,1,2.9
20260523,IBRX,WON,1,7.34
20260523,LBRT,EXPIRED,5,-8.02
20260523,LTH,WON,1,2.34
20260523,LYB,EXPIRED,5,-3.7
20260523,NE,LOST,2,-8.17
20260523,PRM,WON,2,4.95
20260523,SBUX,LOST,5,-6.11
20260523,TAK,LOST,5,-4.25
20260523,TSN,WON,2,1.74
20260523,TTE,LOST,2,-4.83
20260523,VNOM,EXPIRED,5,-2.73
20260523,WMT,EXPIRED,5,-4.71
20260526,AMX,LOST,2,-5.39
20260526,AR,WON,3,4.22
20260526,BGC,EXPIRED,5,-5.84
20260526,BP,EXPIRED,5,2.42
20260526,CE,WON,1,1.07
20260526,CF,EXPIRED,5,-2.15
20260526,CGON,EXPIRED,5,-12.07
20260526,CHRD,EXPIRED,5,2.0
20260526,CNQ,EXPIRED,5,0.76
20260526,COP,EXPIRED,5,2.13
20260526,COST,LOST,3,-6.05
20260526,CVE,EXPIRED,5,1.37
20260526,CVS,WON,1,2.45
20260526,CVX,WON,5,3.49
20260526,DE,WON,2,2.36
20260526,DOW,EXPIRED,5,0.34
20260526,DVN,EXPIRED,5,1.58
20260526,EPD,EXPIRED,5,-1.07
20260526,ET,EXPIRED,5,-0.26
20260526,FANG,WON,4,3.41
20260526,GLNG,EXPIRED,5,-0.27
20260526,HAL,EXPIRED,5,-0.12
20260526,LNG,WON,5,3.04
20260526,LYB,EXPIRED,5,-2.48
20260526,MGY,EXPIRED,5,-0.67
20260526,MTDR,EXPIRED,5,5.13
20260526,MUR,WON,5,5.02
20260526,NE,LOST,2,-8.76
20260526,NTR,EXPIRED,5,-2.5
20260526,OVV,WON,5,4.3
20260526,OXY,WON,3,2.56
20260526,PBR-A,EXPIRED,5,-5.8
20260526,PM,EXPIRED,5,-3.88
20260526,PR,EXPIRED,5,1.93
20260526,RIG,EXPIRED,5,-4.63
20260526,RRC,EXPIRED,5,-0.84
20260526,SBUX,EXPIRED,5,-5.45
20260526,SGHC,EXPIRED,5,-1.98
20260526,SU,EXPIRED,5,-0.69
20260526,TTE,EXPIRED,5,-0.51
20260526,VAL,EXPIRED,5,-4.43
20260526,VNOM,EXPIRED,5,2.83
20260526,WDS,WON,4,3.82
20260526,WMT,EXPIRED,5,-1.42
20260526,XOM,EXPIRED,5,1.82
20260530,AAOI,WON,1,9.38
20260530,ADC,LOST,4,-3.59
20260530,AEE,EXPIRED,5,0.5
20260530,AEP,WON,3,2.08
20260530,AFL,WON,3,2.22
20260530,AHR,EXPIRED,5,-3.35
20260530,ALL,WON,2,2.06
20260530,AM,EXPIRED,5,1.61
20260530,AMX,EXPIRED,5,-3.29
20260530,APA,WON,1,2.06
20260530,APD,WON,5,2.44
