packet_date,ticker,armed,spark_kind,ignited,quiet,score,listing_age_runs,day_of_packet,sector,regime,entry,stop,target,outcome,days,result_pct,gap_result_pct,fwd_ret_pct,mae_pct
2026-07-30,AMAT,1,sector_verdict,1,0,76.1,2,1,Technology,CAUTION,497.92,436.33,505.77,WON,1,1.58,5.96,,0.0
2026-07-30,ANET,1,own_earnings,0,0,59.1,1,1,?,CAUTION,168.24,156.84,169.81,WON,1,0.93,3.85,,0.0
2026-07-30,ASX,1,sector_verdict,1,0,76.4,2,1,Technology,CAUTION,34.75,31.12,35.58,WON,1,2.39,4.72,,-1.04
2026-07-30,AVT,0,unarmed,0,0,60.5,2,1,?,CAUTION,87.76,83.48,87.51,WON,1,-0.28,2.89,,0.0
2026-07-30,CMI,1,own_earnings,0,0,58.3,2,1,?,CAUTION,633.6,597.35,647.82,WON,1,2.24,2.68,,-0.58
2026-07-30,DELL,1,sector_verdict,1,0,62.9,2,1,Technology,CAUTION,408.55,364.17,413.1,WON,1,1.11,3.51,,-1.13
2026-07-30,HUT,1,own_earnings,1,0,62.3,1,1,Financial Services,CAUTION,107.14,86.89,104.31,WON,1,-2.64,5.5,,-3.37
2026-07-30,MU,1,sector_verdict,1,0,78.7,2,1,Technology,CAUTION,859.01,737.88,874.18,WON,1,1.77,5.14,,-6.48
2026-07-30,NBIS,0,unarmed,1,0,66.8,2,1,Communication Services,CAUTION,189.41,145.8,182.91,WON,1,-3.43,6.64,,-3.15
2026-07-30,NXPI,0,unarmed,0,0,60.9,2,1,?,CAUTION,250.39,239.0,262.86,LOST,1,-4.55,-4.55,,-6.57
2026-07-30,RRX,1,sector_verdict,0,0,63.4,2,1,Industrials,CAUTION,200.17,186.12,205.63,WON,1,2.73,3.45,,-0.65
2026-07-30,SMTC,1,sector_verdict,1,0,67.7,2,1,Technology,CAUTION,116.48,103.1,120.19,WON,1,3.19,6.32,,0.0
2026-07-30,TSEM,1,own_earnings,1,0,63.4,2,1,Technology,CAUTION,209.5,185.07,221.77,WON,1,5.86,8.15,,0.0
2026-07-30,VSH,1,sector_verdict,1,0,69.5,2,1,Technology,CAUTION,34.35,29.68,35.77,WON,1,4.13,5.98,,0.0
